vuosi;kunta;xyind;v_yht;v_0_6;v_7_14;v_15_17;v_18_29;v_30_49;v_50_64;v_65_74;v_75
2019;790;2911256834375;1;0;0;0;0;0;0;1;0
2019;790;2738756834625;1;0;0;0;0;0;0;1;0
2019;790;2796256834625;1;0;0;0;0;0;0;1;0
2019;790;2798756834625;2;0;0;0;0;0;1;1;0
2019;790;2841256834625;2;0;0;0;0;0;2;0;0
2019;790;2848756834625;7;0;3;0;2;1;1;0;0
2019;790;2886256834625;2;0;0;0;0;0;0;2;0
2019;790;2888756834625;1;0;0;0;0;0;1;0;0
2019;790;2903756834625;1;0;0;0;0;0;0;0;1
2019;790;2696256834875;2;0;0;0;0;0;2;0;0
2019;790;2748756834875;2;0;0;0;0;0;2;0;0
2019;790;2796256834875;3;0;0;0;0;0;0;2;1
2019;790;2888756834875;4;2;0;0;1;1;0;0;0
2019;790;2891256834875;2;0;0;0;0;0;2;0;0
2019;790;2696256835125;2;0;0;0;0;0;0;2;0
2019;790;2733756835125;4;0;0;0;0;0;3;1;0
